timestamp,pkg_temp_c
2026-07-16T18:30:21-07:00,44.0
2026-07-16T18:30:22-07:00,49.0
2026-07-16T18:30:23-07:00,47.0
2026-07-16T18:30:24-07:00,50.0
2026-07-16T18:30:25-07:00,49.0
2026-07-16T18:30:26-07:00,66.0
2026-07-16T18:30:27-07:00,67.0
2026-07-16T18:30:28-07:00,69.0
2026-07-16T18:30:29-07:00,69.0
2026-07-16T18:30:30-07:00,69.0
2026-07-16T18:30:32-07:00,69.0
2026-07-16T18:30:33-07:00,69.0
2026-07-16T18:30:34-07:00,70.0
2026-07-16T18:30:35-07:00,72.0
2026-07-16T18:30:36-07:00,70.0
2026-07-16T18:30:37-07:00,69.0
2026-07-16T18:30:38-07:00,70.0
2026-07-16T18:30:39-07:00,70.0
2026-07-16T18:30:40-07:00,70.0
2026-07-16T18:30:41-07:00,69.0
2026-07-16T18:30:43-07:00,70.0
2026-07-16T18:30:44-07:00,70.0
2026-07-16T18:30:45-07:00,71.0
2026-07-16T18:30:46-07:00,70.0
2026-07-16T18:30:47-07:00,70.0
2026-07-16T18:30:48-07:00,70.0
2026-07-16T18:30:49-07:00,70.0
2026-07-16T18:30:50-07:00,69.0
2026-07-16T18:30:52-07:00,71.0
2026-07-16T18:30:53-07:00,70.0
2026-07-16T18:30:54-07:00,70.0
2026-07-16T18:30:55-07:00,71.0
2026-07-16T18:30:56-07:00,71.0
2026-07-16T18:30:57-07:00,70.0
2026-07-16T18:30:58-07:00,71.0
2026-07-16T18:30:59-07:00,71.0
2026-07-16T18:31:00-07:00,67.0
2026-07-16T18:31:01-07:00,67.0
2026-07-16T18:31:02-07:00,70.0
2026-07-16T18:31:03-07:00,70.0
2026-07-16T18:31:05-07:00,70.0
2026-07-16T18:31:06-07:00,69.0
2026-07-16T18:31:07-07:00,70.0
2026-07-16T18:31:08-07:00,70.0
2026-07-16T18:31:09-07:00,71.0
2026-07-16T18:31:10-07:00,69.0
2026-07-16T18:31:11-07:00,71.0
2026-07-16T18:31:12-07:00,71.0
2026-07-16T18:31:13-07:00,72.0
2026-07-16T18:31:14-07:00,72.0
2026-07-16T18:31:15-07:00,71.0
2026-07-16T18:31:16-07:00,71.0
2026-07-16T18:31:18-07:00,72.0
2026-07-16T18:31:19-07:00,71.0
2026-07-16T18:31:20-07:00,72.0
2026-07-16T18:31:21-07:00,73.0
2026-07-16T18:31:22-07:00,72.0
2026-07-16T18:31:23-07:00,72.0
2026-07-16T18:31:24-07:00,71.0
2026-07-16T18:31:25-07:00,72.0
2026-07-16T18:31:26-07:00,72.0
2026-07-16T18:31:27-07:00,72.0
2026-07-16T18:31:29-07:00,73.0
2026-07-16T18:31:30-07:00,73.0
2026-07-16T18:31:31-07:00,70.0
2026-07-16T18:31:32-07:00,73.0
2026-07-16T18:31:33-07:00,72.0
2026-07-16T18:31:34-07:00,73.0
2026-07-16T18:31:35-07:00,73.0
2026-07-16T18:31:36-07:00,69.0
2026-07-16T18:31:37-07:00,72.0
2026-07-16T18:31:38-07:00,73.0
2026-07-16T18:31:40-07:00,71.0
2026-07-16T18:31:41-07:00,72.0
2026-07-16T18:31:42-07:00,73.0
2026-07-16T18:31:43-07:00,71.0
2026-07-16T18:31:44-07:00,73.0
2026-07-16T18:31:45-07:00,73.0
2026-07-16T18:31:46-07:00,69.0
